,Area,CH4pc
97,Ireland,0.14511794067109637
98,Isle of Man,0.0
99,Israel,0.05068440390644669
100,Italy,0.02902854122400888
101,Jamaica,0.013696358427859386
102,Japan,0.00862501390628456
103,Jordan,0.02066544835903714
104,Kazakhstan,0.1333529074367334
105,Kenya,0.03790476201534137
106,Kiribati,0.008521114664529164
107,Kuwait,0.28975695968553583
108,Kyrgyzstan,0.04182949320751334
109,Laos,0.05361228407125905
110,Latvia,0.04758962198354024
111,Lebanon,0.02399056670832466
112,Lesotho,0.027119671958861103
113,Liberia,0.01900222338528459
114,Libya,0.11443632113591774
115,Liechtenstein,0.006251800633823106
116,Lithuania,0.05112724468452029
117,Luxembourg,0.035480076918901225
118,Madagascar,0.034279228001849474
119,Malawi,0.01565533709028961
120,Malaysia,0.06315095484710134
121,Maldives,0.012224608888471449
122,Mali,0.04996661532801406
123,Malta,0.012259502915054538
124,Marshall Islands,0.010543825697449391
125,Mauritania,0.07332458849952887
126,Mauritius,0.017755625564988213
127,Mexico,0.04864304079686705
128,Monaco,0.016722028680223607
129,Mongolia,0.39450007917215946
130,Montenegro,0.05492220348243343
131,Montserrat,0.0
132,Morocco,0.02996608086766712
133,Mozambique,0.03366173894549182
134,Myanmar,0.06355509646125868
135,Namibia,0.07599867812842939
136,Nauru,0.01274740020127474
137,Nepal,0.03668703005804388
138,Netherlands,0.04804899236042583
139,New Caledonia,0.021590494243190116
140,New Zealand,0.2752149931611404
141,Nicaragua,0.061286536858933635
142,Niger,0.04114913909509379
143,Nigeria,0.04476664907669165
144,Niue,0.025437201907790145
145,Macedonia,0.031564506307337
146,Northern Mariana Islands,0.0
147,Norway,0.1617339128666948
148,Oman,0.27631478343381893
149,Pakistan,0.03466055038932314
150,Palau,0.05894536497984773
151,Palestine,0.0013136902000958476
152,Panama,0.039257980603828575
153,Papua New Guinea,0.03777218627009504
154,Paraguay,0.1454936331038867
155,Peru,0.042533529433537706
156,Philippines,0.030036761193608083
157,Poland,0.06091461441866022
158,Portugal,0.03865132920012809
159,Puerto Rico,0.006922759197883631
160,Qatar,1.076379931269093
161,South Korea,0.02663644878078987
162,Moldova,0.0269413085401948
163,Romania,0.0426178430189185
164,Russia,0.11163606741158548
165,Rwanda,0.012797259581378841
166,Saint Kitts and Nevis,0.031031594815853936
167,Saint Lucia,0.015185397553516817
168,Saint Pierre and Miquelon,0.0
169,Saint Vincent and the Grenadines,0.018364187270257692
170,Samoa,0.03427594527446221
171,San Marino,0.014041456845063825
172,Sao Tome and Principe,0.012508990082519494
173,Saudi Arabia,0.12337875637173461
174,Senegal,0.02583421835723085
175,Republic of Serbia,0.047397057608889535
176,Seychelles,0.02374564747189649
177,Sierra Leone,0.027217370807633007
178,Singapore,0.03534740599294492
179,Slovakia,0.04142756820816836
180,Slovenia,0.05678960874181595
181,Solomon Islands,0.011661754511573016
182,Somalia,0.0568753976842916
183,South Africa,0.05440077879812105
184,South Sudan,0.12238490960699752
185,Spain,0.03742759639710538
186,Sri Lanka,0.020500284745033875
187,Sudan,0.058806705645476486
188,Suriname,0.05685505671913291
189,Sweden,0.044243309928522066
190,Switzerland,0.024573353907024236
191,Syria,0.018065211597115324
192,Tajikistan,0.030616811851537647
193,Thailand,0.05547759932185167
194,East Timor,0.12283140956298119
195,Togo,0.024166317557839698
196,Tonga,0.03263813599619591
197,Trinidad and Tobago,0.37902777214730554
198,Tunisia,0.02939829838848287
199,Turkey,0.04196358298096552
200,Turkmenistan,0.2836267404179938
201,Turks and Caicos Islands,0.00968978234145636
202,Tuvalu,0.03227795674183157
203,Uganda,0.026410431600132917
204,Ukraine,0.04421109937027406
205,United Arab Emirates,0.19584965004476393
206,United Kingdom,0.027896223191389253
207,United Republic of Tanzania,0.03534583132719439
208,United States of America,0.0729917661206258
209,United States Virgin Islands,0.0
210,Uruguay,0.2812571599647743
211,Uzbekistan,0.07179135098714387
212,Vanuatu,0.04504537534729463
213,Venezuela,0.08051203438865195
214,Vietnam,0.039409751931030856
215,Wallis and Futuna,0.0
216,Western Sahara,0.0
217,Yemen,0.014860268810721017
218,Zambia,0.039073176767768225
219,Zimbabwe,0.03125044843990746
